加利尔 AR（纪念品） | 地狱看门犬=Souvenir Galil AR | Cerberus
截短霰弹枪（StatTrak™） | 夜百合=StatTrak™ Sawed-Off | Morris
P2000 | 海之泡沫=P2000 | Ocean Foam
UMP-45 | 炽烈之炎=UMP-45 | Blaze
截短霰弹枪 | 贤者涂装=Sawed-Off | Sage Spray
UMP-45（纪念品） | 泥地杀手=Souvenir UMP-45 | Mudder
鲍伊猎刀（★ StatTrak™） | 北方森林=★ StatTrak™ Bowie Knife | Boreal Forest
P2000 | 乳白象牙=P2000 | Ivory
沙漠之鹰 | 科林斯遗产=Desert Eagle | Corinthian
G3SG1 | 极地迷彩=G3SG1 | Arctic Camo
FN57（StatTrak™） | 霸意大名=StatTrak™ Five-SeveN | Violent Daimyo
UMP-45 | 野蛮剑齿虎=UMP-45 | Primal Saber
格洛克 18 型（StatTrak™） | 幻影冥魂=StatTrak™ Glock-18 | Wraiths
猎杀者匕首（★ StatTrak™） | 蓝钢=★ StatTrak™ Huntsman Knife | Blue Steel
熊刀（★） | 致命紫罗兰=★ Ursus Knife | Ultraviolet
P2000（纪念品） | 坚固链甲=Souvenir P2000 | Chainmail
PP-野牛（StatTrak™） | 核燃料棒=StatTrak™ PP-Bizon | Fuel Rod
刺刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Bayonet | Damascus Steel
熊刀（★） | 多普勒=★ Ursus Knife | Doppler
UMP-45 | 车王=UMP-45 | Grand Prix
P90（StatTrak™） | 冷血杀手=StatTrak™ P90 | Cold Blooded
P250 | 核子威慑=P250 | Nuclear Threat
格洛克 18 型 | 黑龙纹身=Glock-18 | Dragon Tattoo
截短霰弹枪 | 黑砂=Sawed-Off | Black Sand
M9 刺刀（★ StatTrak™） | 都市伪装=★ StatTrak™ M9 Bayonet | Urban Masked
折刀（★） | 森林 DDPAT=★ Navaja Knife | Forest DDPAT
SG 553 | 意式拉力=SG 553 | Integrale
爪子刀（★） | 澄澈之水=★ Karambit | Bright Water
M249（StatTrak™） | 翠绿箭毒蛙=StatTrak™ M249 | Emerald Poison Dart
锯齿爪刀（★） | 人工染色=★ Talon Knife | Stained
MP7（StatTrak™） | 权力之心=StatTrak™ MP7 | Powercore
折刀（★） | 北方森林=★ Navaja Knife | Boreal Forest
截短霰弹枪 | 破铜烂铁=Sawed-Off | Fubar
AK-47 | 霓虹革命=AK-47 | Neon Revolution
蝴蝶刀（★） | 渐变之色=★ Butterfly Knife | Fade
P90 | 冷血杀手=P90 | Cold Blooded
MAG-7（纪念品） | 金属 DDPAT=Souvenir MAG-7 | Metallic DDPAT
截短霰弹枪（StatTrak™） | 荒野公主=StatTrak™ Sawed-Off | Wasteland Princess
折叠刀（★ StatTrak™） | 澄澈之水=★ StatTrak™ Flip Knife | Bright Water
Tec-9 | 哈迪斯=Tec-9 | Hades
折叠刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ Flip Knife | Marble Fade
FN57（纪念品） | 热火朝天=Souvenir Five-SeveN | Hot Shot
截短霰弹枪（纪念品） | 渐变琥珀=Souvenir Sawed-Off | Amber Fade
P90（StatTrak™） | 浅坟=StatTrak™ P90 | Shallow Grave
P250 | 现代猎手=P250 | Modern Hunter
AWP（StatTrak™） | 电子蜂巢=StatTrak™ AWP | Electric Hive
FN57（StatTrak™） | 朝枪夕拾=StatTrak™ Five-SeveN | Retrobution
SCAR-20 | 蓝图=SCAR-20 | Blueprint
UMP-45 | 辐射警告=UMP-45 | Fallout Warning
P2000 | 廉价皮革=P2000 | Coach Class
内格夫 | 眩目=Negev | Dazzle
MAC-10 | 白鲑鱼=MAC-10 | Whitefish
FN57 | 夜影=Five-SeveN | Nightshade
MAG-7（纪念品） | 外表生锈=Souvenir MAG-7 | Rust Coat
P2000（StatTrak™） | 珊瑚树=StatTrak™ P2000 | Corticera
P90（纪念品） | 枯焦之色=Souvenir P90 | Scorched
AWP（StatTrak™） | 石墨黑=StatTrak™ AWP | Graphite
沙漠之鹰 | 手上加农炮=Desert Eagle | Hand Cannon
R8 左轮手枪 | 生存主义者=R8 Revolver | Survivalist
FN57 | 朝枪夕拾=Five-SeveN | Retrobution
P90（纪念品） | 白蜡木=Souvenir P90 | Ash Wood
截短霰弹枪（纪念品） | 贤者涂装=Souvenir Sawed-Off | Sage Spray
FN57（纪念品） | 银白石英=Souvenir Five-SeveN | Silver Quartz
蝴蝶刀（★） | 噩梦之夜=★ Butterfly Knife | Night
沙漠之鹰（StatTrak™） | 科林斯遗产=StatTrak™ Desert Eagle | Corinthian
运动手套（★） | 潘多拉之盒=★ Sport Gloves | Pandora's Box
刺刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ Bayonet | Safari Mesh
内格夫（StatTrak™） | 沙漠精英=StatTrak™ Negev | Desert-Strike
G3SG1 | 黑暗豹纹=G3SG1 | Murky
AK-47 | 黑色层压板=AK-47 | Black Laminate
M4A4（StatTrak™） | 星级=StatTrak™ M4A4 | Zirka
M9 刺刀（★） | 伽玛多普勒=★ M9 Bayonet | Gamma Doppler
猎杀者匕首（★） | 人工染色=★ Huntsman Knife | Stained
SG 553 | 致命紫罗兰=SG 553 | Ultraviolet
MAG-7（纪念品） | 威吓者=Souvenir MAG-7 | Bulldozer
PP-野牛 | 黑夜暴乱=PP-Bizon | Night Riot
折叠刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Flip Knife | Ultraviolet
P250（StatTrak™） | 二西莫夫=StatTrak™ P250 | Asiimov
MP9（纪念品） | 黑暗时代=Souvenir MP9 | Dark Age
爪子刀（★ StatTrak™） | 传说=★ StatTrak™ Karambit | Lore
爪子刀（★） | 伽玛多普勒=★ Karambit | Gamma Doppler
法玛斯 | 保护色=FAMAS | Crypsis
CZ75 自动手枪 | 聚合物=CZ75-Auto | Polymer
锯齿爪刀（★） | 蓝钢=★ Talon Knife | Blue Steel
法玛斯 | 防滚架=FAMAS | Roll Cage
P90 | 翡翠之龙=P90 | Emerald Dragon
穿肠刀（★ StatTrak™） | 黑色层压板=★ StatTrak™ Gut Knife | Black Laminate
AUG | 随机存取=AUG | Random Access
G3SG1 | 极地迷彩=G3SG1 | Polar Camo
P250（StatTrak™） | 元素轮廓=StatTrak™ P250 | Valence
鲍伊猎刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ Bowie Knife | Scorched
双持贝瑞塔 | 通风机=Dual Berettas | Ventilators
内格夫 | 沙漠精英=Negev | Desert-Strike
新星 | 钢笼=Nova | Caged Steel
加利尔 AR | 燕尾=Galil AR | Tuxedo
SSG 08（纪念品） | 热带风暴=Souvenir SSG 08 | Tropical Storm
XM1014 | 西装革履=XM1014 | Black Tie
新星（纪念品） | 红苹果=Souvenir Nova | Candy Apple
穿肠刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Gut Knife | Damascus Steel
P90（StatTrak™） | 病毒危机=StatTrak™ P90 | Virus
SG 553 | 阿罗哈=SG 553 | Aloha
FN57（纪念品） | 冷却剂=Souvenir Five-SeveN | Coolant
爪子刀（★） | 森林 DDPAT=★ Karambit | Forest DDPAT
XM1014 | 血红巨蟒=XM1014 | Red Python
USP 消音版 | 宝蓝之色=USP-S | Royal Blue
R8 左轮手枪 | 美洲驼炮=R8 Revolver | Llama Cannon
折叠刀（★） | 虎牙=★ Flip Knife | Tiger Tooth
FN57 | 银白石英=Five-SeveN | Silver Quartz
锯齿爪刀（★） | 都市伪装=★ Talon Knife | Urban Masked
AWP（StatTrak™） | 浮生如梦=StatTrak™ AWP | Fever Dream
USP 消音版（StatTrak™） | 脑洞大开=StatTrak™ USP-S | Cortex
弯刀（★ StatTrak™） | 人工染色=★ StatTrak™ Falchion Knife | Stained
截短霰弹枪 | 刹车灯=Sawed-Off | Brake Light
新星（纪念品） | 绿苹果=Souvenir Nova | Green Apple
摩托手套（★） | 清凉薄荷=★ Moto Gloves | Cool Mint
P250 | 红巢=P250 | Hive
P250 | 铜绿=P250 | Verdigris
穿肠刀（★） | 北方森林=★ Gut Knife | Boreal Forest
新星 | 现代猎手=Nova | Modern Hunter
MAG-7（纪念品） | 暴风呼啸=Souvenir MAG-7 | Storm
FN57 | 日式荧光涂装=Five-SeveN | Neon Kimono
R8 左轮手枪（StatTrak™） | 渐变之色=StatTrak™ R8 Revolver | Fade
暗影双匕（★） | 枯焦之色=★ Shadow Daggers | Scorched
熊刀（★） | 大马士革钢=★ Ursus Knife | Damascus Steel
格洛克 18 型（StatTrak™） | 荒野反叛=StatTrak™ Glock-18 | Wasteland Rebel
XM1014（StatTrak™） | 焚烬之鳄=StatTrak™ XM1014 | Incinegator
CZ75 自动手枪（StatTrak™） | 花纹钢板=StatTrak™ CZ75-Auto | Tread Plate
AK-47（StatTrak™） | 荒野反叛=StatTrak™ AK-47 | Wasteland Rebel
PP-野牛（纪念品） | 都市虚线=Souvenir PP-Bizon | Urban Dashed
折刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ Navaja Knife | Safari Mesh
FN57 | 铜色星系=Five-SeveN | Copper Galaxy
爪子刀（★） | 人工染色=★ Karambit | Stained
格洛克 18 型（StatTrak™） | 粉碎者=StatTrak™ Glock-18 | Grinder
SSG 08（StatTrak™） | 通灵者=StatTrak™ SSG 08 | Necropos
截短霰弹枪（StatTrak™） | 聚光灯=StatTrak™ Sawed-Off | Limelight
UMP-45 | 泥地杀手=UMP-45 | Mudder
暗影双匕（★ StatTrak™） | 多普勒=★ StatTrak™ Shadow Daggers | Doppler
AK-47 | 蓝色层压板=AK-47 | Blue Laminate
加利尔 AR | 冬之森林=Galil AR | Winter Forest
截短霰弹枪 | 蝮蛇迷彩=Sawed-Off | Snake Camo
猎杀者匕首（★ StatTrak™） | 渐变之色=★ StatTrak™ Huntsman Knife | Fade
Tec-9 | 多变迷彩=Tec-9 | VariCamo
蝴蝶刀（★ StatTrak™） | 多普勒=★ StatTrak™ Butterfly Knife | Doppler
MAC-10（StatTrak™） | 海洋=StatTrak™ MAC-10 | Oceanic
折刀（★ StatTrak™） | 渐变之色=★ StatTrak™ Navaja Knife | Fade
MP9（StatTrak™） | 焦油缠绕=StatTrak™ MP9 | Goo
SG 553 | 轻空=SG 553 | Aerial
FN57（StatTrak™） | 耍猴把戏=StatTrak™ Five-SeveN | Monkey Business
折叠刀（★ StatTrak™） | 屠夫=★ StatTrak™ Flip Knife | Slaughter
穿肠刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Gut Knife | Ultraviolet
P250（纪念品） | 交换机=Souvenir P250 | Exchanger
MAG-7 | 禁卫军=MAG-7 | Praetorian
SG 553（StatTrak™） | 擎天神=StatTrak™ SG 553 | Atlas
刺刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Bayonet | Urban Masked
格洛克 18 型 | 本生灯=Glock-18 | Bunsen Burner
Tec-9（StatTrak™） | 钛片=StatTrak™ Tec-9 | Titanium Bit
弯刀（★ StatTrak™） | 多普勒=★ StatTrak™ Falchion Knife | Doppler
MAC-10 | 通勤者皮革=MAC-10 | Commuter
UMP-45（StatTrak™） | 合金绽放=StatTrak™ UMP-45 | Metal Flowers
AWP | 粉红 DDPAT=AWP | Pink DDPAT
折叠刀（★） | 多普勒=★ Flip Knife | Doppler
新星 | 毒蜥=Nova | Gila
弯刀（★） | 蓝钢=★ Falchion Knife | Blue Steel
双持贝瑞塔 | 血红蛋白=Dual Berettas | Hemoglobin
穿肠刀（★） | 人工染色=★ Gut Knife | Stained
刺刀（★） | 狩猎网格=★ Bayonet | Safari Mesh
SSG 08 | 青苔虚线=SSG 08 | Lichen Dashed
猎杀者匕首（★） | 蓝钢=★ Huntsman Knife | Blue Steel
穿肠刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ Gut Knife | Scorched
P2000 | 林间猎者=P2000 | Woodsman
熊刀（★ StatTrak™） | 多普勒=★ StatTrak™ Ursus Knife | Doppler
裹手（★） | 防水布胶带=★ Hand Wraps | Duct Tape
MP7 | 速递=MP7 | Special Delivery
MAG-7 | 声纳=MAG-7 | Sonar
FN57 | 冷却剂=Five-SeveN | Coolant
Tec-9（StatTrak™） | 冰冠=StatTrak™ Tec-9 | Ice Cap
短剑（★ StatTrak™） | 狩猎网格=★ StatTrak™ Stiletto Knife | Safari Mesh
鲍伊猎刀（★） | 北方森林=★ Bowie Knife | Boreal Forest
摩托手套（★） | 多边形=★ Moto Gloves | Polygon
爪子刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Karambit | Forest DDPAT
截短霰弹枪（StatTrak™） | 北海巨妖=StatTrak™ Sawed-Off | The Kraken
MP7（StatTrak™） | 死亡骷髅=StatTrak™ MP7 | Skulls
穿肠刀（★） | 深红之网=★ Gut Knife | Crimson Web
XM1014 | 碾骨机=XM1014 | Bone Machine
CZ75 自动手枪（StatTrak™） | 经济=StatTrak™ CZ75-Auto | Eco
P90 | 辐射警告=P90 | Fallout Warning
截短霰弹枪（StatTrak™） | 黑砂=StatTrak™ Sawed-Off | Black Sand
USP 消音版 | 绿色伞兵=USP-S | Para Green
刺刀（★） | 森林 DDPAT=★ Bayonet | Forest DDPAT
FN57（StatTrak™） | 都市危机=StatTrak™ Five-SeveN | Urban Hazard
MAC-10（纪念品） | 核子花园=Souvenir MAC-10 | Nuclear Garden
M4A4（StatTrak™） | X 光=StatTrak™ M4A4 | X-Ray
暗影双匕（★ StatTrak™） | 蓝钢=★ StatTrak™ Shadow Daggers | Blue Steel
沙漠之鹰（StatTrak™） | 大佬龙=StatTrak™ Desert Eagle | Kumicho Dragon
猎杀者匕首（★） | 表面淬火=★ Huntsman Knife | Case Hardened
PP-野牛（纪念品） | 化工之绿=Souvenir PP-Bizon | Chemical Green
SSG 08 | 裂痕=SSG 08 | Slashed
猎杀者匕首（★ StatTrak™） | 深红之网=★ StatTrak™ Huntsman Knife | Crimson Web
M4A1 消音型（StatTrak™） | 黑水=StatTrak™ M4A1-S | Dark Water
爪子刀（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Karambit | Night
UMP-45（StatTrak™） | 迷之宫=StatTrak™ UMP-45 | Labyrinth
驾驶手套（★） | 超越=★ Driver Gloves | Overtake
SG 553（StatTrak™） | 三巨头=StatTrak™ SG 553 | Triarch
锯齿爪刀（★） | 夜色=★ Talon Knife | Night Stripe
USP 消音版（StatTrak™） | 次时代=StatTrak™ USP-S | Cyrex
熊刀（★） | 夜色=★ Ursus Knife | Night Stripe
P2000 | 都市危机=P2000 | Urban Hazard
USP 消音版 | 疯狂蔓延=USP-S | Overgrowth
加利尔 AR | 隐蔽猎手=Galil AR | Hunting Blind
MP7 | 银装素裹=MP7 | Whiteout
裹手（★） | 钴蓝骷髅=★ Hand Wraps | Cobalt Skulls
熊刀（★） | 渐变大理石=★ Ursus Knife | Marble Fade
AK-47 | 美洲猛虎=AK-47 | Jaguar
专业手套（★） | 元勋=★ Specialist Gloves | Foundation
MP9 | 黑砂=MP9 | Black Sand
双持贝瑞塔 | 深蓝电镀处理=Dual Berettas | Anodized Navy
短剑（★ StatTrak™） | 夜色=★ StatTrak™ Stiletto Knife | Night Stripe
蝴蝶刀（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Butterfly Knife | Night
Tec-9 | 剪纸=Tec-9 | Cut Out
暗影双匕（★ StatTrak™） | 渐变之色=★ StatTrak™ Shadow Daggers | Fade
SG 553 | 旅行者皮革=SG 553 | Traveler
格洛克 18 型 | 战鹰=Glock-18 | Warhawk
SSG 08 | 水中之血=SSG 08 | Blood in the Water
折刀（★） | 枯焦之色=★ Navaja Knife | Scorched
弯刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Falchion Knife | Ultraviolet
MP9（StatTrak™） | 致命毒药=StatTrak™ MP9 | Deadly Poison
M9 刺刀（★） | 狩猎网格=★ M9 Bayonet | Safari Mesh
Tec-9 | 贾姆比亚=Tec-9 | Jambiya
AK-47（StatTrak™） | 迷踪秘境=StatTrak™ AK-47 | Uncharted
PP-野牛 | 水纹之印=PP-Bizon | Water Sigil
爪子刀（★ StatTrak™） | 澄澈之水=★ StatTrak™ Karambit | Bright Water
内格夫 | 青绿地形=Negev | Terrain
沙漠之鹰（StatTrak™） | 轻轨=StatTrak™ Desert Eagle | Light Rail
双持贝瑞塔（StatTrak™） | 毒蛇袭击=StatTrak™ Dual Berettas | Cobra Strike
九头蛇手套（★） | 响尾蛇=★ Hydra Gloves | Rattler
截短霰弹枪 | 梭鲈=Sawed-Off | Zander
MP9 | 气密=MP9 | Airlock
M4A4（纪念品） | 辐射危机=Souvenir M4A4 | Radiation Hazard
内格夫（纪念品） | 加州迷彩=Souvenir Negev | CaliCamo
短剑（★ StatTrak™） | 北方森林=★ StatTrak™ Stiletto Knife | Boreal Forest
CZ75 自动手枪（纪念品） | 复古圣杯=Souvenir CZ75-Auto | Chalice
AWP（纪念品） | 粉红 DDPAT=Souvenir AWP | Pink DDPAT
UMP-45 | 简报=UMP-45 | Briefing
AUG（StatTrak™） | 三角战术=StatTrak™ AUG | Triqua
格洛克 18 型 | 锈蚀烈焰=Glock-18 | Oxide Blaze
双持贝瑞塔 | 毒蛇袭击=Dual Berettas | Cobra Strike
P2000 | 草原落叶=P2000 | Grassland Leaves
折刀（★） | 屠夫=★ Navaja Knife | Slaughter
新星（StatTrak™） | 幽灵迷彩=StatTrak™ Nova | Ghost Camo
P250（纪念品） | 设施系列·草图=Souvenir P250 | Facility Draft
MAC-10 | 青金鳄皮=MAC-10 | Lapis Gator
CZ75 自动手枪 | 梅红时刻=CZ75-Auto | The Fuschia Is Now
格洛克 18 型（StatTrak™） | 鼬鼠=StatTrak™ Glock-18 | Weasel
鲍伊猎刀（★） | 都市伪装=★ Bowie Knife | Urban Masked
G3SG1（StatTrak™） | 毒刺=StatTrak™ G3SG1 | Stinger
UMP-45 | 合金绽放=UMP-45 | Metal Flowers
穿肠刀（★） | 渐变大理石=★ Gut Knife | Marble Fade
折刀（★） | 渐变之色=★ Navaja Knife | Fade
格洛克 18 型 | 荒野反叛=Glock-18 | Wasteland Rebel
短剑（★） | 大马士革钢=★ Stiletto Knife | Damascus Steel
G3SG1（纪念品） | 狩猎网格=Souvenir G3SG1 | Safari Mesh
MAC-10 | 绝界之行=MAC-10 | Last Dive
P2000（StatTrak™） | 至尊威龙=StatTrak™ P2000 | Imperial Dragon
专业手套（★） | 深红和服=★ Specialist Gloves | Crimson Kimono
M9 刺刀（★） | 噩梦之夜=★ M9 Bayonet | Night
M4A1 消音型 | 血虎=M4A1-S | Blood Tiger
CZ75 自动手枪 | 维多利亚=CZ75-Auto | Victoria
P250 | 日式薄荷涂装=P250 | Mint Kimono
刺刀（★） | 人工染色=★ Bayonet | Stained
P2000 | 手炮=P2000 | Handgun
AUG | 弹跳线条=AUG | Ricochet
MP9 | 滑移=MP9 | Slide
PP-野牛（StatTrak™） | 收割机=StatTrak™ PP-Bizon | Harvester
MP7 | 非洲部落=MP7 | Akoben
AUG | 席德.米德=AUG | Syd Mead
P90 | 盲点=P90 | Blind Spot
沙漠之鹰（StatTrak™） | 阴谋者=StatTrak™ Desert Eagle | Conspiracy
蝴蝶刀（★） | 都市伪装=★ Butterfly Knife | Urban Masked
MAC-10（StatTrak™） | 烧尽=StatTrak™ MAC-10 | Tatter
USP 消音版 | 商业皮革=USP-S | Business Class
锯齿爪刀（★ StatTrak™） | 表面淬火=★ StatTrak™ Talon Knife | Case Hardened
MP9 | 飞驰=MP9 | Dart
G3SG1（StatTrak™） | 净化者=StatTrak™ G3SG1 | Scavenger
AUG（StatTrak™） | 力矩=StatTrak™ AUG | Torque
AK-47（StatTrak™） | 燃料喷射器=StatTrak™ AK-47 | Fuel Injector
MP9（纪念品） | 落日=Souvenir MP9 | Setting Sun
沙漠之鹰（StatTrak™） | 锈蚀烈焰=StatTrak™ Desert Eagle | Oxide Blaze
M9 刺刀（★ StatTrak™） | 表面淬火=★ StatTrak™ M9 Bayonet | Case Hardened
MP9（StatTrak™） | 中度威胁=StatTrak™ MP9 | Modest Threat
弯刀（★） | 虎牙=★ Falchion Knife | Tiger Tooth
弯刀（★ StatTrak™） | 北方森林=★ StatTrak™ Falchion Knife | Boreal Forest
穿肠刀（★） | 屠夫=★ Gut Knife | Slaughter
爪子刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ Karambit | Marble Fade
PP-野牛（StatTrak™） | 水纹之印=StatTrak™ PP-Bizon | Water Sigil
暗影双匕（★ StatTrak™） | 深红之网=★ StatTrak™ Shadow Daggers | Crimson Web
FN57 | 焰色反应=Five-SeveN | Flame Test
双持贝瑞塔 | 蔷薇=Dual Berettas | Briar
新星（StatTrak™） | 樱花之绚烂=StatTrak™ Nova | Bloomstick
MP7 | 都市危机=MP7 | Urban Hazard
折刀（★） | 人工染色=★ Navaja Knife | Stained
XM1014 | 五彩斑驳=XM1014 | Ziggy
MP9 | 铁血玫瑰=MP9 | Rose Iron
P90（纪念品） | 设施系列·底片图=Souvenir P90 | Facility Negative
内格夫 | 加州迷彩=Negev | CaliCamo
SG 553 | 电子脉冲=SG 553 | Pulse
双持贝瑞塔 | 黑豹=Dual Berettas | Panther
猎杀者匕首（★） | 森林 DDPAT=★ Huntsman Knife | Forest DDPAT
